RESPONDENT,MARITAL,AGE,EDUC,SEX,SIBS,CHILDS,HOMPOP,PRESTG80,INCOME06,RINCOM06,SATFIN,HRS1,DWELOWN,SEI,HAPMAR,EVSTRAY,SPANKING,ABANY,ABDEFCTW,MARHOMO,HAPPY,HEALTH,LIFE,LETDIE1,OWNGUN,NEWS,TVHOURS,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,SEXORNT,FECHLD,FEPRESCH,FEFAM
1493,1,57,14,1,1,3,3,54,18,17,2,99,1,49.6,3,1,3,1,0,1,2,1,1,7,0,2,2,0,7,2,0,0,0,0,0,0,0,2,1,1,1,0,1,1,7,0,0,1,0,0,1,60,1,5,1,1,1,1,1,1,1,1,0,7,1,3,3,2,2,3
1494,3,60,8,1,5,4,3,34,14,0,3,-1,1,31.3,0,1,2,1,0,1,2,4,1,7,1,2,8,0,0,4,0,0,0,0,0,0,0,2,2,2,1,1,0,2,7,0,0,1,0,0,4,0,3,0,4,0,6,0,1,4,2,1,0,7,2,2,3,1,1,4
1495,5,24,12,2,7,1,2,31,14,10,3,38,2,50.3,0,7,2,0,0,2,2,2,2,7,0,3,0,1,3,3,0,0,0,0,0,0,0,2,2,3,1,1,1,2,7,0,0,2,0,0,4,0,3,0,4,8,6,1,1,3,2,2,0,7,3,2,2,3,2,3
1496,5,50,12,1,5,0,1,46,20,20,2,-1,0,43.2,0,7,0,1,4,2,3,3,2,7,0,0,-1,0,4,5,0,0,0,0,0,0,0,1,3,2,2,1,0,2,1,0,0,0,1,1,4,0,3,0,4,8,5,0,7,0,0,2,2,1,0,0,3,0,0,0
1497,2,89,17,2,2,1,1,64,17,0,1,-1,1,78.5,0,7,3,1,0,2,2,2,1,7,0,1,3,0,2,4,0,0,0,0,0,0,0,1,1,1,1,1,1,2,7,0,0,3,0,0,1,60,3,5,1,0,2,0,1,3,1,1,0,7,-1,-1,0,2,3,3
1498,1,28,16,1,2,1,3,34,21,19,2,60,1,32.8,1,0,3,7,2,0,1,0,0,7,7,2,2,7,6,5,0,0,0,0,0,0,0,1,2,1,1,1,7,2,0,0,0,2,4,3,2,0,2,0,2,8,5,0,1,4,4,0,2,0,1,6,3,2,3,3
1499,3,49,16,2,3,2,2,33,18,18,2,40,1,50.5,0,1,4,7,4,0,1,0,0,7,7,2,1,7,1,3,0,0,0,0,0,0,0,1,1,1,1,0,7,2,1,0,0,2,1,4,1,70,2,0,2,1,5,0,1,4,1,0,2,0,1,3,3,1,3,4
1500,1,61,16,1,2,2,4,34,21,21,1,52,1,32.8,1,0,3,1,0,3,1,1,1,7,1,2,2,0,3,4,0,0,0,0,0,0,0,3,2,1,1,1,1,3,7,0,0,2,0,0,4,0,3,0,4,8,6,0,1,4,2,1,0,7,1,4,3,2,2,3
1501,1,69,12,1,0,0,2,30,98,0,2,-1,1,31.5,2,7,1,1,0,5,1,1,2,7,1,4,4,0,0,4,0,0,0,0,0,0,0,1,3,2,8,1,0,2,7,0,0,2,0,0,1,41,3,3,2,1,3,0,0,4,3,9,0,7,-1,-1,0,1,1,1
1502,4,49,12,1,3,0,1,0,98,99,3,-1,1,-1,0,7,2,7,1,0,2,0,0,7,7,2,0,7,3,2,0,0,0,0,0,0,0,1,8,1,1,0,7,2,1,0,0,2,2,1,4,0,3,3,4,1,2,1,1,4,1,0,2,0,-1,-1,0,3,2,3
1503,1,79,12,1,3,0,2,51,21,0,1,-1,1,63.5,1,7,2,0,0,3,1,2,1,7,1,1,2,0,2,4,0,0,0,0,0,0,0,1,8,8,1,1,1,8,7,0,0,2,0,0,1,70,2,5,2,1,4,0,1,4,1,1,0,7,-1,-1,0,3,8,2
1504,1,37,12,2,0,1,3,24,98,0,2,-1,0,29.2,1,0,0,0,1,5,2,3,1,7,1,0,-1,0,5,6,0,0,0,0,0,0,0,8,8,3,1,1,0,2,0,0,0,0,2,1,1,60,1,8,1,1,1,1,7,0,0,1,1,0,1,4,3,0,0,0
1505,1,82,12,1,1,2,2,54,98,0,1,-1,0,49.6,1,0,0,0,8,4,1,2,2,7,0,0,-1,0,0,4,0,0,0,0,0,0,0,2,1,2,1,1,1,3,0,0,0,0,2,3,2,0,2,7,1,1,4,0,7,0,0,1,2,0,0,0,3,0,0,0
1506,1,53,12,2,3,2,2,47,15,9,3,20,0,31.2,2,7,0,1,4,2,2,2,1,7,1,0,-1,0,3,4,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,0,0,0,3,4,1,18,1,4,2,1,1,1,7,0,0,1,2,1,-1,-1,0,0,0,0
